"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","All",1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0117361,0.108333,0.015,0.162361,0.375,0.36875,0.38125,0.01025,0.034,0.06525,0.06525,0.775,0.5,0.5,0.79,0.79,0.7275,0.1475,0.775,0.95,0.74375,0.19375,0.74375,0.19375,-0.05,-0.05,-0.5,0.666667,0.583333,0.583333,0.666667,0.666667,0.5,0.5,0.5,0.5,0.5,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias1",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0367361,0.191667,0.075,0.262361,0.475,0.50625,0.44375,0.09125,0.115,0.14625,0.14625,0.475,0.5,0.5,0.4,0.4,0.3375,0.5375,0.475,0.95,0.44375,0.49375,0.44375,0.49375,-0.05,-0.05,-0.5,0.666667,0.470833,0.583333,0.666667,0.666667,0.05,0.5,0.5,0.275,0.05,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias2",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0367361,0.191667,0.025,0.262361,0.475,0.50625,0.44375,0.00125,0.025,0.05625,0.05625,0.475,0.5,0.5,0.5,0.5,0.4375,0.4375,0.475,0.95,0.44375,0.49375,0.44375,0.49375,-0.05,-0.05,-0.5,0.666667,0.495833,0.583333,0.666667,0.666667,0.15,0.5,0.5,0.325,0.15,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias3",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0084028,0.0916667,0.025,0.229028,0.441667,0.460417,0.422917,0.00125,0.025,0.05625,0.05625,0.575,0.5,0.5,0.6,0.6,0.5375,0.3375,0.575,0.95,0.54375,0.39375,0.54375,0.39375,-0.05,-0.05,-0.5,0.666667,0.520833,0.583333,0.666667,0.666667,0.25,0.5,0.5,0.375,0.25,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias4",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,6.9444E-5,0.00833333,0.025,0.195694,0.408333,0.414583,0.402083,0.00125,0.025,0.05625,0.05625,0.675,0.5,0.5,0.7,0.7,0.6375,0.2375,0.675,0.95,0.64375,0.29375,0.64375,0.29375,-0.05,-0.05,-0.5,0.666667,0.545833,0.583333,0.666667,0.666667,0.35,0.5,0.5,0.425,0.35,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias5",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0117361,0.108333,0.025,0.162361,0.375,0.36875,0.38125,0.00125,0.025,0.05625,0.05625,0.775,0.5,0.5,0.8,0.8,0.7375,0.1375,0.775,0.95,0.74375,0.19375,0.74375,0.19375,-0.05,-0.05,-0.5,0.666667,0.570833,0.583333,0.666667,0.666667,0.45,0.5,0.5,0.475,0.45,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias6",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0434028,0.208333,0.025,0.129028,0.341667,0.322917,0.360417,0.00125,0.025,0.05625,0.05625,0.875,0.5,0.5,0.9,0.9,0.8375,0.0375,0.875,0.95,0.84375,0.09375,0.84375,0.09375,-0.05,-0.05,-0.5,0.666667,0.595833,0.583333,0.666667,0.666667,0.55,0.5,0.5,0.525,0.55,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias7",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0950694,0.308333,0.025,0.095694,0.308333,0.277083,0.339583,0.00125,0.025,0.05625,0.05625,0.975,0.5,0.5,1,1,0.9375,-0.0625,0.975,0.95,0.94375,-0.00625,0.94375,-0.00625,-0.05,-0.05,-0.5,0.666667,0.620833,0.583333,0.666667,0.666667,0.65,0.5,0.5,0.575,0.65,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias8",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0950694,0.308333,0.025,0.095694,0.308333,0.277083,0.339583,0.00125,0.025,0.05625,0.05625,0.975,0.5,0.5,1,1,0.9375,-0.0625,0.975,0.95,0.94375,-0.00625,0.94375,-0.00625,-0.05,-0.05,-0.5,0.666667,0.645833,0.583333,0.666667,0.666667,0.75,0.5,0.5,0.625,0.75,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias9",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0950694,0.308333,0.025,0.095694,0.308333,0.277083,0.339583,0.00125,0.025,0.05625,0.05625,0.975,0.5,0.5,1,1,0.9375,-0.0625,0.975,0.95,0.94375,-0.00625,0.94375,-0.00625,-0.05,-0.05,-0.5,0.666667,0.670833,0.583333,0.666667,0.666667,0.85,0.5,0.5,0.675,0.85,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","PBias10",0.1,0,0,0.5,0.5,0,0,0,0,0,0.95,0.65131,0.0950694,0.308333,0.025,0.095694,0.308333,0.277083,0.339583,0.00125,0.025,0.05625,0.05625,0.975,0.5,0.5,1,1,0.9375,-0.0625,0.975,0.95,0.94375,-0.00625,0.94375,-0.00625,-0.05,-0.05,-0.5,0.666667,0.695833,0.583333,0.666667,0.666667,0.95,0.5,0.5,0.725,0.95,0.5,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","DBias1",0.1,0,0,0,1,0,0,0,0,0,0.95,0.223699,0.0711111,0.266667,0,0.311111,0.533333,0.545833,0.520833,0,0,0.0625,0.0625,0.4,0.5,0.5,0.4,0.4,0.3375,0.5375,0.4,,0.3375,0.5375,0.3375,0.5375,-0.05,-0.05,-0.5,0.666667,0.583333,0.470833,0.666667,0.666667,0.5,0.05,0.5,0.275,0.5,0.05,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","DBias2",0.1,0,0,0,1,0,0,0,0,0,0.95,0.289398,0.0277778,0.166667,0,0.277778,0.5,0.5,0.5,0,0,0.0625,0.0625,0.5,0.5,0.5,0.5,0.5,0.4375,0.4375,0.5,,0.4375,0.4375,0.4375,0.4375,-0.05,-0.05,-0.5,0.666667,0.583333,0.495833,0.666667,0.666667,0.5,0.15,0.5,0.325,0.5,0.15,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","DBias3",0.1,0,0,0,1,0,0,0,0,0,0.95,0.35,0.0044444,0.0666667,0,0.244444,0.466667,0.454167,0.479167,0,0,0.0625,0.0625,0.6,0.5,0.5,0.6,0.6,0.5375,0.3375,0.6,,0.5375,0.3375,0.5375,0.3375,-0.05,-0.05,-0.5,0.666667,0.583333,0.520833,0.666667,0.666667,0.5,0.25,0.5,0.375,0.5,0.25,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
"wtaes","wtaes;q0.667;c0.125;t0.2600","-4.441000000000001E-16","-5.036E-10","21","DBias4",0.1,0,0,0,1,0,0,0,0,0,0.95,0.45,0.0011111,0.0333333,0,0.211111,0.433333,0.408333,0.458333,0,0,0.0625,0.0625,0.7,0.5,0.5,0.7,0.7,0.6375,0.2375,0.7,,0.6375,0.2375,0.6375,0.2375,-0.05,-0.05,-0.5,0.666667,0.583333,0.545833,0.666667,0.666667,0.5,0.35,0.5,0.425,0.5,0.35,0.666667,0.5,1,0,0,0.5,0.5,0.666667,0.125,1,0,0.26
