"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","All",1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.05,0.0025,0.05,0.05,0.05,0.0128125,0.092,0.092,0.092,0.55,0.5,0.5,0.5,0.5,0.25,0.25,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias1",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.1625,0.0025,0.05,0.05,0.05,0.0315625,0.1625,0.1625,0.1625,0.55,0.5,0.5,0.3875,0.3875,0.1375,0.3625,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.3875,0.5,0.5,0.5,0.05,0.5,0.5,0.275,0.05,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias2",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.1375,0.0025,0.05,0.05,0.05,0.0240625,0.1375,0.1375,0.1375,0.55,0.5,0.5,0.4125,0.4125,0.1625,0.3375,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.4125,0.5,0.5,0.5,0.15,0.5,0.5,0.325,0.15,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias3",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.1125,0.0025,0.05,0.05,0.05,0.0178125,0.1125,0.1125,0.1125,0.55,0.5,0.5,0.4375,0.4375,0.1875,0.3125,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.4375,0.5,0.5,0.5,0.25,0.5,0.5,0.375,0.25,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias4",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.0875,0.0025,0.05,0.05,0.05,0.0128125,0.0925,0.0925,0.0925,0.55,0.5,0.5,0.4625,0.4625,0.2125,0.2875,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.4625,0.5,0.5,0.5,0.35,0.5,0.5,0.425,0.35,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias5",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.0625,0.0025,0.05,0.05,0.05,0.0090625,0.0775,0.0775,0.0775,0.55,0.5,0.5,0.4875,0.4875,0.2375,0.2625,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.4875,0.5,0.5,0.5,0.45,0.5,0.5,0.475,0.45,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias6",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.0375,0.0025,0.05,0.05,0.05,0.0065625,0.0675,0.0675,0.0675,0.55,0.5,0.5,0.5125,0.5125,0.2625,0.2375,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.5125,0.5,0.5,0.5,0.55,0.5,0.5,0.525,0.55,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias7",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.0125,0.0025,0.05,0.05,0.05,0.0053125,0.0625,0.0625,0.0625,0.55,0.5,0.5,0.5375,0.5375,0.2875,0.2125,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.5375,0.5,0.5,0.5,0.65,0.5,0.5,0.575,0.65,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias8",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.0125,0.0025,0.05,0.05,0.05,0.0053125,0.0625,0.0625,0.0625,0.55,0.5,0.5,0.5625,0.5625,0.3125,0.1875,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.5625,0.5,0.5,0.5,0.75,0.5,0.5,0.625,0.75,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
"noshareq","noshareq;q0.500;c0.500;t0.4800","-5.551E-17","1","32","PBias9",0.1,0,0,1,0,0,0,0,0,0,0.55,0.55,0.0025,0.05,0.0375,0.0025,0.05,0.05,0.05,0.0065625,0.0675,0.0675,0.0675,0.55,0.5,0.5,0.5875,0.5875,0.3375,0.1625,0.55,0.55,0.55,0.45,0.55,0.45,-0.05,-0.05,-0.5,0.5,0.5875,0.5,0.5,0.5,0.85,0.5,0.5,0.675,0.85,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,1,0,0.48
