"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","All",1,0,0,0.2,0.8,0.25,0.25,-0.009375,0,0,0.46,0.238501,0.0250035,0.158125,0.00854167,0.039556,0.170042,0.139625,0.210958,0.00138628,0.023125,0.066875,0.048125,0.334167,0.425,0.425,0.333333,0.323958,0.261458,0.613542,0.324792,0.35,0.274792,0.625208,0.274792,0.625208,-0.05,-0.05,-0.5,0.166667,0.333333,0.333333,0.166667,0.166667,0.5,0.5,0.5,0.5,0.5,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias1",0.1,0,0,0.4,0.6,0.2,0.2,-0.0125,0,0,0.35,0.238501,0.0040111,0.0633333,0.00916667,0.016476,0.108333,0.121667,0.119167,0.00226736,0.0341667,0.0716667,0.0466667,0.2425,0.4,0.4,0.220833,0.208333,0.145833,0.729167,0.23,0.35,0.1925,0.7325,0.1925,0.7325,-0.05,-0.05,-0.5,0.166667,0.220833,0.333333,0.166667,0.166667,0.05,0.5,0.5,0.275,0.05,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias2",0.1,0,0,0.4,0.6,0.2,0.2,-0.0125,0,0,0.35,0.238501,0.0061361,0.0783333,0.000833333,0.016351,0.111667,0.1125,0.124167,0.00143403,0.0258333,0.0633333,0.0383333,0.2575,0.4,0.4,0.245833,0.233333,0.170833,0.704167,0.245,0.35,0.2075,0.7175,0.2075,0.7175,-0.05,-0.05,-0.5,0.166667,0.245833,0.333333,0.166667,0.166667,0.15,0.5,0.5,0.325,0.15,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias3",0.1,0,0,0.4,0.6,0.2,0.2,-0.0125,0,0,0.35,0.238501,0.0087111,0.0933333,0.0108333,0.016976,0.116667,0.108333,0.1325,0.00110069,0.0225,0.06,0.035,0.2725,0.4,0.4,0.270833,0.258333,0.195833,0.679167,0.26,0.35,0.2225,0.7025,0.2225,0.7025,-0.05,-0.05,-0.5,0.166667,0.270833,0.333333,0.166667,0.166667,0.25,0.5,0.5,0.375,0.25,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias4",0.1,0,0,0.4,0.6,0.2,0.2,-0.0125,0,0,0.35,0.238501,0.0117361,0.108333,0.0208333,0.018351,0.121667,0.109167,0.145833,0.00126736,0.0241667,0.0616667,0.0366667,0.2875,0.4,0.4,0.295833,0.283333,0.220833,0.654167,0.275,0.35,0.2375,0.6875,0.2375,0.6875,-0.05,-0.05,-0.5,0.166667,0.295833,0.333333,0.166667,0.166667,0.35,0.5,0.5,0.425,0.35,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias5",0.1,0,0,0.4,0.6,0.2,0.2,-0.0125,0,0,0.35,0.238501,0.0152111,0.123333,0.0308333,0.020476,0.1275,0.114167,0.160833,0.00193403,0.0308333,0.0683333,0.0433333,0.3025,0.4,0.4,0.320833,0.308333,0.245833,0.629167,0.29,0.35,0.2525,0.6725,0.2525,0.6725,-0.05,-0.05,-0.5,0.166667,0.320833,0.333333,0.166667,0.166667,0.45,0.5,0.5,0.475,0.45,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias6",0.1,0,0,0,1,0.2,0.2,-0.0125,0,0,0.55,0.238501,0.0277778,0.166667,0.0125,0.036059,0.166667,0.1225,0.229167,0.00078125,0.0125,0.075,0.05,0.345833,0.4,0.4,0.345833,0.333333,0.270833,0.604167,0.333333,,0.270833,0.604167,0.270833,0.604167,-0.05,-0.05,-0.5,0.166667,0.345833,0.333333,0.166667,0.166667,0.55,0.5,0.5,0.525,0.55,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias7",0.1,0,0,0,1,0.2,0.2,-0.0125,0,0,0.55,0.238501,0.0367361,0.191667,0.0125,0.045017,0.191667,0.1375,0.254167,0.00078125,0.0125,0.075,0.05,0.370833,0.4,0.4,0.370833,0.358333,0.295833,0.579167,0.358333,,0.295833,0.579167,0.295833,0.579167,-0.05,-0.05,-0.5,0.166667,0.370833,0.333333,0.166667,0.166667,0.65,0.5,0.5,0.575,0.65,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias8",0.1,0,0,0,1,0.2,0.2,-0.0125,0,0,0.55,0.238501,0.0469444,0.216667,0.0125,0.055226,0.216667,0.155833,0.279167,0.00078125,0.0125,0.075,0.05,0.395833,0.4,0.4,0.395833,0.383333,0.320833,0.554167,0.383333,,0.320833,0.554167,0.320833,0.554167,-0.05,-0.05,-0.5,0.166667,0.395833,0.333333,0.166667,0.166667,0.75,0.5,0.5,0.625,0.75,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
"es","es;q0.167;c0.125;t0.5800","3.3310000000000003E-16","1","9","PBias9",0.1,0,0,0,1,0.4,0.4,-6.071530000000001E-18,0,0,0.55,0.238501,0.0646007,0.254167,6.07153E-18,0.076319,0.254167,0.191667,0.316667,0.0015625,0.025,0.0625,0.0625,0.420833,0.5,0.5,0.420833,0.420833,0.358333,0.516667,0.420833,,0.358333,0.516667,0.358333,0.516667,-0.05,-0.05,-0.5,0.166667,0.420833,0.333333,0.166667,0.166667,0.85,0.5,0.5,0.675,0.85,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.58
